m49,country,commodity,production_kt,emissions_total_kt,ef_total_kgCO2e_per_kg,ef_fer_kgCO2e_per_kg,ef_man_kgCO2e_per_kg,ef_res_kgCO2e_per_kg,ef_rice_kgCO2e_per_kg,ef_peat_kgCO2e_per_kg,ef_urea_kgCO2e_per_kg,ef_burn_kgCO2e_per_kg,ef_soil_kgCO2e_per_kg,ef_ent_kgCO2e_per_kg,ef_mms_kgCO2e_per_kg,ef_prp_kgCO2e_per_kg,feed_emissions_kt,ef_feed_kgCO2e_per_kg,ef_with_feed_kgCO2e_per_kg
4,Afghanistan,whea,5152.3,460.24,0.0893,0.0405,0.0187,0.0131,0.0,0.0,0.017,0.0,0.0,,,,,,
8,Albania,barl,23.3,2.17,0.093,0.0327,0.0152,0.0097,0.0,0.0113,0.0082,0.0027,0.0132,,,,,,
8,Albania,bcat,24.5,101.29,4.1287,,,,,,,,,3.1536,0.6259,0.3491,9.94,0.4051,4.5338
8,Albania,bean,22.7,8.94,0.3931,0.0695,0.0457,0.0198,0.0,0.21,0.015,0.0116,0.0216,,,,,,
8,Albania,dcat,701.9,936.35,1.334,,,,,,,,,0.9721,0.2938,0.0681,32.6,0.0464,1.3804
8,Albania,goat,69.5,137.38,1.9764,,,,,,,,,1.0806,0.0413,0.8545,7.32,0.1053,2.0816
8,Albania,maiz,391.3,61.66,0.1576,0.0377,0.0125,0.0083,0.0,0.0775,0.0074,0.0031,0.0111,,,,,,
8,Albania,pigs,5.6,29.35,5.2612,,,,,,,,,0.8256,4.4356,0.0,3.08,0.5529,5.8141
8,Albania,pota,262.9,12.12,0.0461,0.0132,0.0036,0.003,0.0,0.0197,0.0025,0.0004,0.0038,,,,,,
8,Albania,poul,62.1,28.05,0.4518,,,,,,,,,0.0,0.4403,0.0115,16.5,0.2658,0.7176
8,Albania,shee,75.6,348.14,4.6045,,,,,,,,,3.2342,0.1583,1.212,9.31,0.1232,4.7277
8,Albania,whea,172.7,67.16,0.389,0.1773,0.0313,0.0168,0.0,0.0928,0.0386,0.0092,0.0231,,,,,,
12,Algeria,barl,984.7,96.28,0.0978,0.0097,0.0619,0.0218,0.0,0.0,0.0026,0.0015,0.0003,,,,,,
12,Algeria,bcat,131.2,1053.84,8.0315,,,,,,,,,5.3024,0.196,2.5332,10.15,0.0774,8.1089
12,Algeria,dcat,2394.0,1681.59,0.7024,,,,,,,,,0.4803,0.0136,0.2086,19.83,0.0083,0.7107
12,Algeria,goat,350.4,1146.5,3.2719,,,,,,,,,1.9136,0.0697,1.2886,6.94,0.0198,3.2917
12,Algeria,grou,15.1,1.57,0.1035,0.0516,0.0226,0.0142,0.0,0.0,0.0128,0.002,0.0003,,,,,,
12,Algeria,maiz,8.9,1.09,0.1228,0.084,0.0139,0.0035,0.0,0.0,0.021,0.0002,0.0002,,,,,,
12,Algeria,olvs,28.5,624.25,21.9347,,,,,,,,,17.4748,0.823,3.6369,0.35,0.0121,21.9468
12,Algeria,pota,4506.4,83.45,0.0185,0.0118,0.0017,0.0021,0.0,0.0,0.0028,0.0001,0.0,,,,,,
12,Algeria,poul,770.9,882.35,1.1445,,,,,,,,,0.0,0.1866,0.9579,47.26,0.0613,1.2058
12,Algeria,rape,22.5,3.33,0.1479,0.0684,0.048,0.0115,0.0,0.0,0.018,0.0019,0.0001,,,,,,
12,Algeria,shee,894.1,6708.06,7.5024,,,,,,,,,4.7677,0.1758,2.5589,21.76,0.0243,7.5268
12,Algeria,whea,2962.3,178.04,0.0601,0.0077,0.0366,0.0122,0.0,0.0,0.002,0.0012,0.0003,,,,,,
20,,dcat,2.7,1.57,0.5745,,,,,,,,,0.4263,0.1186,0.0296,0.0,0.0,0.5745
24,Angola,bcat,108.5,6029.31,55.5886,,,,,,,,,36.4075,1.5213,17.6598,71.98,0.6636,56.2522
24,Angola,bean,366.6,107.34,0.2928,0.039,0.0533,0.0495,0.0,0.1055,0.0024,0.0431,0.0,,,,,,
24,Angola,cass,11982.1,249.68,0.0208,0.0008,0.0012,0.006,0.0,0.0102,0.0,0.0026,0.0,,,,,,
24,Angola,cott,2.8,0.71,0.2505,0.0241,0.024,0.0391,0.0,0.1122,0.0,0.0511,0.0,,,,,,
24,Angola,dcat,223.0,822.9,3.6898,,,,,,,,,2.5049,0.0802,1.1047,17.75,0.0796,3.7693
24,Angola,goat,11.5,742.23,64.6867,,,,,,,,,37.502,1.5444,25.6403,2.83,0.2467,64.9334
24,Angola,grou,251.4,83.08,0.3305,0.0054,0.0293,0.0658,0.0,0.145,0.0001,0.0849,0.0,,,,,,
24,Angola,maiz,3359.5,476.2,0.1417,0.0176,0.0194,0.021,0.0,0.0653,0.0011,0.0172,0.0001,,,,,,
24,Angola,oilp,281.6,2.55,0.009,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
24,Angola,pigs,156.2,568.37,3.6377,,,,,,,,,0.5091,3.1286,0.0,106.36,0.6807,4.3184
24,Angola,pota,530.0,16.56,0.0313,0.0093,0.0049,0.0065,0.0,0.0073,0.0005,0.0027,0.0,,,,,,
24,Angola,poul,169.9,170.82,1.0052,,,,,,,,,0.0,0.1741,0.8311,60.68,0.3571,1.3623
24,Angola,rcof,11.1,4.66,0.4213,0.1907,0.0144,0.0,0.0,0.2054,0.0108,0.0,0.0,,,,,,
24,Angola,rice,46.0,16.93,0.3682,0.0028,0.0078,0.0062,0.3175,0.0116,0.0003,0.022,0.0,,,,,,
24,Angola,shee,1.2,73.06,58.6104,,,,,,,,,36.9332,1.5477,20.1296,0.99,0.7979,59.4083
24,Angola,sorg,37.8,30.45,0.8056,0.0155,0.2134,0.0568,0.0,0.4005,0.0012,0.1163,0.0018,,,,,,
24,Angola,soyb,45.1,5.15,0.1142,0.0103,0.0353,0.032,0.0,0.0159,0.0,0.0207,0.0,,,,,,
24,Angola,sugc,1285.2,6.83,0.0053,0.0012,0.0006,0.0026,0.0,0.0004,0.0001,0.0004,0.0,,,,,,
24,Angola,whea,45.6,0.67,0.0146,0.0046,0.0036,0.002,0.0,0.0023,0.0,0.0014,0.0007,,,,,,
31,Azerbaijan,barl,1054.4,114.15,0.1083,0.0407,0.0451,0.0189,0.0,0.0,0.0009,0.0023,0.0004,,,,,,
31,Azerbaijan,bcat,139.1,1489.63,10.7116,,,,,,,,,6.773,0.2859,3.6527,88.41,0.6357,11.3473
31,Azerbaijan,bean,4.2,1.45,0.3462,0.0586,0.2501,0.0226,0.0,0.0,0.0017,0.0126,0.0005,,,,,,
31,Azerbaijan,buff,1.5,12.67,8.3373,,,,,,,,,6.8662,0.6196,0.8515,0.0,0.0,8.3373
31,Azerbaijan,cott,235.0,69.81,0.2971,0.1808,0.0655,0.0382,0.0,0.0,0.0032,0.0093,0.0,,,,,,
31,Azerbaijan,dcat,2210.0,2275.71,1.0297,,,,,,,,,0.6554,0.0335,0.3409,155.48,0.0704,1.1001
31,Azerbaijan,goat,5.1,124.98,24.3077,,,,,,,,,14.2382,0.3298,9.7397,0.88,0.1712,24.4789
31,Azerbaijan,maiz,296.6,12.64,0.0426,0.023,0.0104,0.0074,0.0,0.0,0.0004,0.001,0.0004,,,,,,
31,Azerbaijan,pota,996.5,21.6,0.0217,0.0102,0.0074,0.0033,0.0,0.0,0.0006,0.0002,0.0001,,,,,,
31,Azerbaijan,poul,262.0,127.71,0.4874,,,,,,,,,0.0,0.0702,0.4172,113.67,0.4338,0.9212
31,Azerbaijan,rape,2.1,0.14,0.0683,0.0215,0.0185,0.017,0.0,0.0,0.0084,0.0011,0.0019,,,,,,
31,Azerbaijan,rice,17.7,17.23,0.975,0.0372,0.0291,0.0064,0.8991,0.0,0.0016,0.0015,0.0002,,,,,,
31,Azerbaijan,shee,114.9,1458.17,12.693,,,,,,,,,8.1112,0.1731,4.4087,24.17,0.2104,12.9034
31,Azerbaijan,soyb,12.4,0.53,0.0425,0.0062,0.0155,0.0165,0.0,0.0,0.0024,0.0011,0.0009,,,,,,
31,Azerbaijan,whea,1957.6,246.37,0.1259,0.0683,0.0374,0.0144,0.0,0.0,0.0016,0.0037,0.0005,,,,,,
32,Argentina,barl,5073.6,445.44,0.0878,0.0501,0.0015,0.0114,0.0,0.0037,0.021,0.0001,0.0,,,,,,
32,Argentina,bcat,3169.5,102381.0,32.3023,,,,,,,,,25.0294,0.4707,6.8022,1987.93,0.6272,32.9295
32,Argentina,bean,475.8,42.94,0.0902,0.036,0.0046,0.0248,0.0,0.0029,0.0105,0.0114,0.0,,,,,,
32,Argentina,cass,231.5,14.85,0.0642,0.0309,0.0027,0.0054,0.0,0.0215,0.0034,0.0003,0.0,,,,,,
32,Argentina,cott,1269.0,62.33,0.0491,0.0115,0.0025,0.025,0.0,0.0066,0.0019,0.0016,0.0,,,,,,
32,Argentina,dcat,10887.1,3478.21,0.3195,,,,,,,,,0.2759,0.0065,0.0371,837.86,0.077,0.3964
32,Argentina,goat,2.5,342.13,136.6233,,,,,,,,,80.169,2.7791,53.6752,1.42,0.5673,137.1905
32,Argentina,grou,1483.0,149.48,0.1008,0.0577,0.0017,0.0167,0.0,0.0,0.0245,0.0003,0.0,,,,,,
32,Argentina,maiz,57660.9,3181.45,0.0552,0.0309,0.0013,0.0073,0.0,0.0055,0.01,0.0002,0.0,,,,,,
32,Argentina,olvs,9.2,875.22,94.9917,,,,,,,,,59.9756,5.316,29.7001,2.11,0.2291,95.2208
32,Argentina,pigs,785.3,707.71,0.9012,,,,,,,,,0.1841,0.7171,0.0,466.02,0.5934,1.4946
32,Argentina,pota,2116.5,34.76,0.0164,0.0088,0.0003,0.003,0.0,0.0007,0.0034,0.0002,0.0,,,,,,
32,Argentina,poul,3217.9,357.2,0.111,,,,,,,,,0.0,0.0388,0.0722,1573.3,0.4889,0.5999
32,Argentina,rape,45.1,69.53,1.5425,0.0593,0.0684,0.0147,0.0,1.3874,0.0121,0.0006,0.0,,,,,,
32,Argentina,rice,1642.9,1349.08,0.8212,0.0423,0.0057,0.0086,0.6303,0.12,0.0125,0.0017,0.0,,,,,,
32,Argentina,shee,30.8,2536.27,82.2822,,,,,,,,,52.4889,1.4996,28.2937,11.19,0.363,82.6452
32,Argentina,sorg,2495.4,117.15,0.0469,0.0131,0.004,0.0114,0.0,0.0149,0.0029,0.0007,0.0,,,,,,
32,Argentina,soyb,48385.6,2328.54,0.0481,0.0003,0.0043,0.0151,0.0,0.0279,0.0,0.0005,0.0,,,,,,
32,Argentina,sugc,12287.5,141.64,0.0115,0.0044,0.0003,0.0017,0.0,0.0037,0.001,0.0005,0.0,,,,,,
32,Argentina,whea,18511.8,3533.59,0.1909,0.1232,0.0035,0.0137,0.0,0.0144,0.0357,0.0004,0.0,,,,,,
36,Australia,barl,13238.5,3308.61,0.2499,0.1589,0.001,0.0212,0.0,0.0051,0.0592,0.0031,0.0013,,,,,,
36,Australia,bcat,2544.1,60963.03,23.9621,,,,,,,,,16.9769,1.0677,5.9175,2382.09,0.9363,24.8984
36,Australia,bean,218.4,77.47,0.3547,0.0007,0.0598,0.0169,0.0,0.2606,0.0002,0.0152,0.0013,,,,,,
36,Australia,cott,2397.0,145.57,0.0607,0.0316,0.0003,0.0188,0.0,0.0,0.0083,0.0014,0.0004,,,,,,
36,Australia,dcat,8550.7,6450.95,0.7544,,,,,,,,,0.4794,0.151,0.124,1189.9,0.1392,0.8936
36,Australia,goat,28.9,728.15,25.1717,,,,,,,,,13.0232,0.4937,11.6547,4.64,0.1604,25.332
36,Australia,grou,13.1,3.72,0.2842,0.0217,0.2241,0.0276,0.0,0.0,0.0,0.0106,0.0002,,,,,,
36,Australia,maiz,439.0,59.64,0.1358,0.057,0.0045,0.0084,0.0,0.0466,0.016,0.0022,0.0012,,,,,,
36,Australia,olvs,13.8,181.61,13.1459,,,,,,,,,8.0311,0.9887,4.1261,5.18,0.3751,13.5211
36,Australia,pigs,461.5,1173.32,2.5426,,,,,,,,,0.2386,2.304,0.0,532.16,1.1532,3.6957
36,Australia,pota,1393.0,154.09,0.1106,0.0369,0.0016,0.0029,0.0,0.0593,0.009,0.0007,0.0002,,,,,,
36,Australia,poul,1675.2,180.58,0.1078,,,,,,,,,0.0,0.0988,0.009,1389.25,0.8293,0.9371
36,Australia,rape,6381.2,1322.15,0.2072,0.1272,0.0012,0.0151,0.0,0.0098,0.0472,0.0059,0.0009,,,,,,
36,Australia,rice,615.4,396.23,0.6439,0.0041,0.0002,0.0027,0.6344,0.0,0.0016,0.0003,0.0005,,,,,,
36,Australia,shee,905.5,26231.56,28.9698,,,,,,,,,18.1755,0.603,10.1913,245.77,0.2714,29.2412
36,Australia,sorg,2427.2,137.98,0.0568,0.0336,0.0009,0.0111,0.0,0.0003,0.0097,0.0008,0.0003,,,,,,
36,Australia,soyb,57.8,30.48,0.5274,0.0054,0.0004,0.0096,0.0,0.504,0.0011,0.0062,0.0006,,,,,,
36,Australia,sugc,28392.7,404.79,0.0143,0.0062,0.0001,0.0066,0.0,0.0004,0.0008,0.0002,0.0,,,,,,
36,Australia,whea,34057.2,2697.73,0.0792,0.0405,0.0009,0.0129,0.0,0.0063,0.015,0.003,0.0006,,,,,,
40,Austria,barl,706.1,200.53,0.284,0.1082,0.0296,0.0197,0.0,0.1132,0.0034,0.0007,0.0091,,,,,,
40,Austria,bcat,194.1,2498.69,12.8723,,,,,,,,,10.1237,1.6518,1.0968,111.46,0.5742,13.4464
40,Austria,dcat,3904.0,2099.98,0.5379,,,,,,,,,0.4087,0.1011,0.028,227.21,0.0582,0.5961
40,Austria,goat,25.7,21.87,0.8497,,,,,,,,,0.4691,0.0161,0.3645,3.54,0.1377,0.9873
40,Austria,maiz,1948.9,359.42,0.1844,0.0772,0.024,0.0097,0.0,0.0651,0.0023,0.0004,0.0057,,,,,,
40,Austria,pigs,436.7,587.29,1.345,,,,,,,,,0.2479,1.0971,0.0,291.08,0.6666,2.0116
40,Austria,pota,644.8,20.48,0.0318,0.0138,0.0038,0.0034,0.0,0.0089,0.0005,0.0,0.0012,,,,,,
40,Austria,rape,75.4,64.23,0.8516,0.2583,0.0578,0.0242,0.0,0.4861,0.0117,0.002,0.0115,,,,,,
40,Austria,shee,17.5,116.38,6.6426,,,,,,,,,4.7045,0.2094,1.7287,3.06,0.1745,6.8172
40,Austria,sorg,33.8,6.62,0.1961,0.0652,0.021,0.011,0.0,0.0918,0.0022,0.0,0.0049,,,,,,
40,Austria,soyb,233.1,99.76,0.428,0.0652,0.0455,0.0144,0.0,0.2932,0.0022,0.0009,0.0066,,,,,,
40,Austria,whea,1538.6,489.57,0.3182,0.1365,0.03,0.0142,0.0,0.127,0.0039,0.0007,0.0059,,,,,,
44,Bahamas,poul,4.3,5.22,1.2264,,,,,,,,,0.0,0.4689,0.7575,1.91,0.4492,1.6755
44,Bahamas,sugc,63.9,17.35,0.2717,0.0014,0.0001,0.0025,0.0,0.2668,0.0008,0.0,0.0,,,,,,
50,Bangladesh,bcat,193.0,13754.42,71.2554,,,,,,,,,60.5113,4.9911,5.7531,105.99,0.5491,71.8045
50,Bangladesh,bean,82.9,69.8,0.8419,0.1328,0.1409,0.0232,0.0,0.5256,0.0193,0.0001,0.0,,,,,,
50,Bangladesh,buff,389.1,2539.2,6.5261,,,,,,,,,5.3767,0.542,0.6073,48.57,0.1248,6.6509
50,Bangladesh,cass,6.5,1.28,0.1965,0.0154,0.0321,0.0079,0.0,0.1391,0.002,0.0,0.0,,,,,,
50,Bangladesh,cott,59.3,34.35,0.5797,0.1885,0.0686,0.0318,0.0,0.2619,0.0287,0.0002,0.0,,,,,,
50,Bangladesh,dcat,13606.3,16764.34,1.2321,,,,,,,,,0.9816,0.0881,0.1624,596.65,0.0439,1.276
50,Bangladesh,goat,1294.9,6084.51,4.699,,,,,,,,,2.7637,0.1418,1.7935,138.0,0.1066,4.8056
50,Bangladesh,grou,69.0,65.11,0.9432,0.3015,0.0638,0.0236,0.0,0.508,0.0463,0.0,0.0,,,,,,
50,Bangladesh,maiz,4500.3,905.66,0.2012,0.1051,0.0158,0.0074,0.0,0.0567,0.0162,0.0,0.0,,,,,,
50,Bangladesh,pigs,4.9,21.59,4.4156,,,,,,,,,0.6419,3.7737,0.0,0.0,0.0,4.4156
50,Bangladesh,pota,10865.2,1609.16,0.1481,0.0962,0.0073,0.0031,0.0,0.0266,0.0149,0.0,0.0,,,,,,
50,Bangladesh,poul,1558.6,1284.87,0.8244,,,,,,,,,0.0,0.2628,0.5616,511.23,0.328,1.1524
50,Bangladesh,rape,692.5,502.54,0.7257,0.3288,0.0759,0.0145,0.0,0.2561,0.0502,0.0002,0.0,,,,,,
50,Bangladesh,rice,58743.3,43917.62,0.7476,0.0774,0.0238,0.0085,0.5023,0.1104,0.0252,0.0001,0.0,,,,,,
50,Bangladesh,rubb,24.5,433.07,17.6902,7.8543,1.0616,0.0,0.0,7.5508,1.2234,0.0,0.0,,,,,,
50,Bangladesh,shee,77.8,723.21,9.2931,,,,,,,,,6.1147,0.415,2.7634,10.51,0.135,9.4281
50,Bangladesh,soyb,100.9,144.04,1.4271,0.8023,0.0779,0.0209,0.0,0.4006,0.1249,0.0005,0.0,,,,,,
50,Bangladesh,sugc,2863.7,168.96,0.059,0.0258,0.0046,0.0048,0.0,0.0198,0.004,0.0,0.0,,,,,,
50,Bangladesh,whea,1115.5,404.48,0.3626,0.1527,0.0529,0.0133,0.0,0.1202,0.0234,0.0001,0.0,,,,,,
51,Armenia,barl,81.2,35.2,0.4333,0.1753,0.1043,0.0171,0.0,0.0337,0.0168,0.0105,0.0756,,,,,,
51,Armenia,bcat,60.5,414.41,6.8548,,,,,,,,,4.3292,0.1677,2.3579,14.11,0.2333,7.0881
51,Armenia,bean,1.9,0.77,0.4073,0.1626,0.1789,0.0233,0.0,0.0,0.0128,0.0152,0.0143,,,,,,
51,Armenia,dcat,575.6,479.82,0.8336,,,,,,,,,0.5308,0.0252,0.2776,14.59,0.0253,0.859
51,Armenia,goat,1.8,8.81,4.7885,,,,,,,,,2.8131,0.0574,1.9179,0.22,0.1176,4.9061
51,Armenia,maiz,9.8,1.27,0.1297,0.0744,0.0294,0.0064,0.0,0.0,0.0073,0.0031,0.0092,,,,,,
51,Armenia,pigs,20.1,29.48,1.4689,,,,,,,,,0.2639,1.205,0.0,3.79,0.1889,1.6578
51,Armenia,pota,340.5,5.24,0.0154,0.0014,0.0015,0.0034,0.0,0.0026,0.0001,0.0012,0.0052,,,,,,
51,Armenia,poul,54.7,19.16,0.3506,,,,,,,,,0.0,0.0445,0.3061,8.94,0.1635,0.5141
51,Armenia,shee,34.7,159.09,4.5913,,,,,,,,,2.9379,0.0559,1.5975,3.84,0.1109,4.7021
51,Armenia,whea,142.8,52.46,0.3673,0.1848,0.0771,0.0117,0.0,0.0188,0.0168,0.0152,0.0428,,,,,,
52,Barbados,dcat,2.8,4.45,1.592,,,,,,,,,1.3551,0.0506,0.1863,0.0,0.0017,1.5936
52,Barbados,pigs,1.8,2.35,1.2843,,,,,,,,,0.2194,1.0649,0.0,0.03,0.0179,1.3021
52,Barbados,poul,10.6,9.7,0.9147,,,,,,,,,0.0,0.3369,0.5778,0.13,0.0118,0.9265
52,Barbados,sugc,44.1,4.33,0.0981,0.0043,0.029,0.003,0.0,0.0,0.0007,0.0,0.0612,,,,,,
56,Belgium,barl,307.7,120.86,0.3927,0.0853,0.0801,0.019,0.0,0.1879,0.0037,0.0001,0.0165,,,,,,
56,Belgium,bcat,245.7,3359.57,13.672,,,,,,,,,10.7022,1.7982,1.1716,59.13,0.2406,13.9127
56,Belgium,dcat,4751.3,2227.7,0.4689,,,,,,,,,0.354,0.0903,0.0245,120.8,0.0254,0.4943
56,Belgium,goat,69.6,4.92,0.0707,,,,,,,,,0.0389,0.0014,0.0304,2.81,0.0404,0.1111
56,Belgium,maiz,476.8,144.0,0.302,0.0334,0.0794,0.0074,0.0,0.1694,0.0015,0.0001,0.0109,,,,,,
56,Belgium,pigs,926.3,1335.31,1.4415,,,,,,,,,0.2587,1.1828,0.0,289.3,0.3123,1.7538
56,Belgium,pota,3932.8,284.05,0.0722,0.0202,0.0165,0.003,0.0,0.028,0.0009,0.0,0.0037,,,,,,
56,Belgium,poul,528.6,146.29,0.2768,,,,,,,,,0.0,0.2675,0.0093,82.03,0.1552,0.4319
56,Belgium,rape,40.2,18.79,0.4679,0.2516,0.0873,0.0147,0.0,0.0957,0.0115,0.0001,0.0069,,,,,,
56,Belgium,shee,1.9,2.18,1.1512,,,,,,,,,0.8127,0.0372,0.3014,0.21,0.1085,1.2597
56,Belgium,whea,1080.5,790.47,0.7316,0.2056,0.1453,0.0202,0.0,0.3258,0.0091,0.0004,0.0251,,,,,,
64,Bhutan,bcat,1.3,177.41,139.5412,,,,,,,,,118.4866,9.9007,11.1539,0.41,0.3195,139.8607
64,Bhutan,buff,1.5,38.52,26.378,,,,,,,,,22.0668,1.8527,2.4585,0.02,0.0123,26.3903
64,Bhutan,cass,1.0,0.01,0.0138,0.0055,0.0021,0.0057,0.0,0.0,0.0004,0.0,0.0,,,,,,
64,Bhutan,dcat,86.6,175.65,2.0274,,,,,,,,,1.6172,0.1467,0.2636,3.41,0.0394,2.0668
64,Bhutan,goat,5.1,34.21,6.7434,,,,,,,,,3.9995,0.1835,2.5605,0.04,0.0079,6.7513
64,Bhutan,maiz,41.2,8.09,0.1964,0.1208,0.0395,0.0124,0.0,0.0,0.0169,0.0057,0.001,,,,,,
64,Bhutan,pigs,4.2,7.55,1.7874,,,,,,,,,0.2902,1.4972,0.0,0.49,0.1154,1.9028
64,Bhutan,pota,105.2,12.04,0.1144,0.0862,0.0104,0.005,0.0,0.0,0.0122,0.0004,0.0003,,,,,,
64,Bhutan,poul,8.5,5.4,0.634,,,,,,,,,0.0,0.1838,0.4502,3.54,0.4153,1.0494
64,Bhutan,rape,3.8,2.3,0.6013,0.3865,0.1152,0.0418,0.0,0.0,0.0547,0.0026,0.0005,,,,,,
64,Bhutan,rice,122.4,66.11,0.5403,0.1459,0.0232,0.0154,0.3152,0.0,0.0357,0.0017,0.0031,,,,,,
64,Bhutan,sugc,8.5,0.22,0.0263,0.0163,0.004,0.0034,0.0,0.0,0.0023,0.0,0.0002,,,,,,
