m49,country,commodity,production_kt,emissions_total_kt,ef_total_kgCO2e_per_kg,ef_fer_kgCO2e_per_kg,ef_man_kgCO2e_per_kg,ef_res_kgCO2e_per_kg,ef_rice_kgCO2e_per_kg,ef_peat_kgCO2e_per_kg,ef_urea_kgCO2e_per_kg,ef_burn_kgCO2e_per_kg,ef_soil_kgCO2e_per_kg,ef_ent_kgCO2e_per_kg,ef_mms_kgCO2e_per_kg,ef_prp_kgCO2e_per_kg,feed_emissions_kt,ef_feed_kgCO2e_per_kg,ef_with_feed_kgCO2e_per_kg
0,,barl,1504.9,811.27,0.5391,0.1,0.0585,0.0175,0.0,0.3375,0.007,0.0007,0.0179,,,,,,
0,,bcat,571.7,14723.35,25.7554,,,,,,,,,19.4275,2.0503,4.2776,0.0,0.0,25.7554
0,,bean,213.4,236.34,1.1077,0.2382,0.0923,0.0305,0.0,0.6979,0.0364,0.0096,0.0029,,,,,,
0,,buff,242.7,1735.75,7.1507,,,,,,,,,5.5733,0.7573,0.82,0.0,0.0,7.1507
0,,cass,4893.2,519.09,0.1061,0.009,0.0038,0.0058,0.0,0.0854,0.0012,0.0005,0.0004,,,,,,
0,,coco,125.8,795.06,6.3216,0.5834,0.1327,0.0,0.0,5.5196,0.0859,0.0,0.0,,,,,,
0,,coff,31.5,115.08,3.6499,0.7973,0.2276,0.0,0.0,2.5265,0.0984,0.0,0.0,,,,,,
0,,cott,210.2,158.5,0.7539,0.3417,0.0181,0.0296,0.0,0.2616,0.0679,0.0033,0.0317,,,,,,
0,,dcat,8470.5,5917.11,0.6986,,,,,,,,,0.5192,0.097,0.0824,0.0,0.0,0.6986
0,,goat,340.9,1854.32,5.4397,,,,,,,,,3.1757,0.1361,2.1279,0.0,0.0,5.4397
0,,grou,615.2,351.83,0.5719,0.08,0.0469,0.0228,0.0,0.4049,0.0118,0.0036,0.0018,,,,,,
0,,maiz,4591.1,2267.47,0.4939,0.1389,0.0216,0.0102,0.0,0.2992,0.0193,0.0023,0.0023,,,,,,
0,,oilp,19998.7,12653.68,0.6327,0.0249,0.0024,0.0,0.0,0.6017,0.0038,0.0,0.0,,,,,,
0,,olvs,59.7,536.14,8.9867,,,,,,,,,6.5567,0.4738,1.9561,0.0,0.0,8.9867
0,,pigs,1414.3,2343.33,1.6568,,,,,,,,,0.2821,1.3747,0.0,0.0,0.0,1.6568
0,,pota,3431.2,401.14,0.1169,0.0414,0.0057,0.0032,0.0,0.0589,0.0056,0.0001,0.002,,,,,,
0,,poul,3725.8,1699.78,0.4562,,,,,,,,,0.0,0.1665,0.2898,0.0,0.0,0.4562
0,,rape,297.6,263.34,0.885,0.2774,0.0877,0.0178,0.0,0.4664,0.0199,0.0015,0.0142,,,,,,
0,,rcof,69.3,223.9,3.2295,0.7318,0.1518,0.0,0.0,2.2463,0.0996,0.0,0.0,,,,,,
0,,rice,14417.2,18269.92,1.2672,0.0708,0.02,0.0071,0.9097,0.2297,0.0262,0.002,0.0018,,,,,,
0,,rubb,442.6,1685.28,3.8079,0.2429,0.0586,0.0,0.0,3.4771,0.0294,0.0,0.0,,,,,,
0,,shee,307.1,2369.09,7.7131,,,,,,,,,5.1711,0.2233,2.3188,0.0,0.0,7.7131
0,,sorg,192.1,146.07,0.7604,0.0831,0.0145,0.0124,0.0,0.6138,0.0276,0.0081,0.001,,,,,,
0,,soyb,448.1,475.92,1.062,0.09,0.036,0.0217,0.0,0.8944,0.0122,0.0057,0.002,,,,,,
0,,sugc,26609.4,941.2,0.0354,0.0117,0.0013,0.0032,0.0,0.0167,0.0015,0.0003,0.0006,,,,,,
0,,whea,3480.6,1566.8,0.4502,0.1402,0.0452,0.0143,0.0,0.2256,0.0125,0.0016,0.0107,,,,,,
4,Afghanistan,barl,103.5,12.54,0.1212,0.0164,0.0708,0.0272,0.0,0.0,0.0067,0.0,0.0,,,,,,
4,Afghanistan,bcat,64.5,1605.59,24.8914,,,,,,,,,21.0906,1.7955,2.0054,6.77,0.1049,24.9964
4,Afghanistan,bean,27.5,0.61,0.0223,0.0098,0.0077,0.0008,0.0,0.0,0.0039,0.0,0.0,,,,,,
4,Afghanistan,buff,4.1,8.57,2.0845,,,,,,,,,1.7211,0.1737,0.1898,0.0,0.0,2.0845
4,Afghanistan,cott,127.0,21.13,0.1664,0.0973,0.0176,0.0163,0.0,0.0,0.0353,0.0,0.0,,,,,,
4,Afghanistan,dcat,1943.6,6995.29,3.5992,,,,,,,,,2.8757,0.2616,0.4618,15.17,0.0078,3.607
4,Afghanistan,goat,165.8,1786.4,10.7766,,,,,,,,,6.4602,0.2225,4.094,3.05,0.0184,10.795
4,Afghanistan,maiz,261.6,16.52,0.0631,0.0216,0.0236,0.0092,0.0,0.0,0.0087,0.0,0.0,,,,,,
4,Afghanistan,olvs,11.1,689.36,62.3659,,,,,,,,,42.2807,2.668,17.4172,0.12,0.011,62.3769
4,Afghanistan,pota,922.9,13.25,0.0144,0.0061,0.0029,0.0031,0.0,0.0,0.0024,0.0,0.0,,,,,,
4,Afghanistan,poul,50.2,42.59,0.848,,,,,,,,,0.0,0.2442,0.6037,2.7,0.0538,0.9017
4,Afghanistan,rice,621.6,377.61,0.6075,0.0102,0.0082,0.0056,0.5788,0.0,0.0048,0.0,0.0,,,,,,
4,Afghanistan,shee,276.6,2679.89,9.6892,,,,,,,,,6.4849,0.3423,2.862,7.13,0.0258,9.7149
4,Afghanistan,sugc,121.2,1.37,0.0113,0.0056,0.0007,0.0023,0.0,0.0,0.0027,0.0,0.0,,,,,,
