m49,country,commodity,production_kt,emissions_total_kt,ef_total_kgCO2e_per_kg,ef_fer_kgCO2e_per_kg,ef_man_kgCO2e_per_kg,ef_res_kgCO2e_per_kg,ef_rice_kgCO2e_per_kg,ef_peat_kgCO2e_per_kg,ef_urea_kgCO2e_per_kg,ef_burn_kgCO2e_per_kg,ef_ent_kgCO2e_per_kg,ef_mms_kgCO2e_per_kg,ef_prp_kgCO2e_per_kg
818,Egypt,sorg,665.8,95.63,0.1436,0.0862,0.0087,0.0091,0.0,0.0,0.0394,0.0002,,,
818,Egypt,soyb,33.2,5.08,0.1531,0.0843,0.0184,0.012,0.0,0.0,0.0381,0.0003,,,
818,Egypt,sugc,14992.4,200.15,0.0133,0.0074,0.0004,0.0021,0.0,0.0,0.0035,0.0,,,
818,Egypt,whea,8994.6,888.88,0.0988,0.0555,0.0091,0.0077,0.0,0.0004,0.0257,0.0004,,,
826,United Kingdom of Great Britain and Northern Ireland,barl,7887.2,3116.1,0.3951,0.1057,0.0508,0.0176,0.0,0.2174,0.0035,0.0001,,,
826,United Kingdom of Great Britain and Northern Ireland,bcat,891.1,14676.05,16.47,,,,,,,,12.8059,2.2627,1.4013
826,United Kingdom of Great Britain and Northern Ireland,dcat,14960.2,7512.6,0.5022,,,,,,,,0.3754,0.1008,0.026
826,United Kingdom of Great Britain and Northern Ireland,olvs,3.7,398.12,106.1664,,,,,,,,69.6165,6.4731,30.0768
826,United Kingdom of Great Britain and Northern Ireland,pigs,946.6,1145.07,1.2097,,,,,,,,0.2081,1.0015,0.0
826,United Kingdom of Great Britain and Northern Ireland,pota,5381.1,483.89,0.0899,0.0228,0.0196,0.0031,0.0,0.0436,0.0008,0.0,,,
826,United Kingdom of Great Britain and Northern Ireland,poul,2676.4,533.64,0.1994,,,,,,,,0.0,0.1929,0.0065
826,United Kingdom of Great Britain and Northern Ireland,rape,1014.4,906.02,0.8931,0.4521,0.1199,0.0225,0.0,0.282,0.0164,0.0002,,,
826,United Kingdom of Great Britain and Northern Ireland,shee,281.5,9508.11,33.7778,,,,,,,,23.812,1.1434,8.8224
826,United Kingdom of Great Britain and Northern Ireland,whea,9307.4,7274.59,0.7816,0.2814,0.0897,0.0198,0.0,0.3825,0.0081,0.0001,,,
834,United Republic of Tanzania,barl,17.2,3.24,0.1878,0.056,0.0731,0.0197,0.0,0.0186,0.0159,0.0045,,,
834,United Republic of Tanzania,bcat,506.7,32181.79,63.5125,,,,,,,,41.9475,1.5499,20.0151
834,United Republic of Tanzania,cott,348.1,94.4,0.2712,0.0536,0.0661,0.0152,0.0,0.1124,0.0176,0.0063,,,
834,United Republic of Tanzania,dcat,3201.7,14779.13,4.6161,,,,,,,,3.1571,0.0893,1.3696
834,United Republic of Tanzania,goat,302.0,5396.9,17.8687,,,,,,,,10.4562,0.3804,7.0322
834,United Republic of Tanzania,grou,690.5,369.94,0.5357,0.0099,0.0609,0.0398,0.0,0.4125,0.0024,0.0102,,,
834,United Republic of Tanzania,maiz,6743.9,1240.85,0.184,0.0348,0.0241,0.0116,0.0,0.1026,0.0065,0.0044,,,
834,United Republic of Tanzania,oilp,79.1,11.73,0.1482,0.0002,0.0032,0.0,0.0,0.1449,0.0,0.0,,,
834,United Republic of Tanzania,olvs,2.8,22.45,8.0748,,,,,,,,6.6104,0.2824,1.182
834,United Republic of Tanzania,pigs,41.3,99.49,2.4071,,,,,,,,0.3743,2.0329,0.0
834,United Republic of Tanzania,pota,840.4,43.73,0.052,0.0153,0.0073,0.0046,0.0,0.0198,0.004,0.001,,,
834,United Republic of Tanzania,poul,282.0,190.28,0.6746,,,,,,,,0.0,0.1036,0.571
834,United Republic of Tanzania,rice,4430.4,1981.55,0.4473,0.0049,0.0084,0.0059,0.3786,0.0444,0.0017,0.0033,,,
834,United Republic of Tanzania,shee,28.5,1579.99,55.3799,,,,,,,,35.2086,1.2985,18.8728
834,United Republic of Tanzania,sorg,759.7,253.76,0.334,0.0152,0.0565,0.0195,0.0,0.2263,0.0042,0.0124,,,
834,United Republic of Tanzania,soyb,44.1,6.35,0.144,0.0167,0.0075,0.0137,0.0,0.1003,0.0021,0.0037,,,
834,United Republic of Tanzania,sugc,3947.1,40.87,0.0104,0.0034,0.0005,0.0044,0.0,0.0012,0.0004,0.0004,,,
834,United Republic of Tanzania,whea,74.5,7.52,0.1009,0.0452,0.0206,0.0193,0.0,0.0074,0.0059,0.0025,,,
840,United States of America,barl,3710.8,426.87,0.115,0.0558,0.0092,0.0128,0.0,0.0236,0.0127,0.001,,,
840,United States of America,bcat,12358.7,161117.45,13.0368,,,,,,,,9.7611,0.7301,2.5457
840,United States of America,cott,9181.2,3683.29,0.4012,0.2138,0.0346,0.0414,0.0,0.0792,0.0245,0.0076,,,
840,United States of America,dcat,101102.8,47393.38,0.4688,,,,,,,,0.3188,0.1399,0.0101
840,United States of America,goat,11.4,151.31,13.296,,,,,,,,10.2149,0.3493,2.7319
840,United States of America,grou,2783.5,979.96,0.3521,0.0544,0.0225,0.0276,0.0,0.2392,0.0044,0.004,,,
840,United States of America,maiz,358194.2,45030.11,0.1257,0.0746,0.0081,0.0072,0.0,0.0231,0.0124,0.0004,,,
840,United States of America,pigs,12806.9,27452.45,2.1436,,,,,,,,0.2438,1.8998,0.0
840,United States of America,pota,18991.7,819.48,0.0431,0.0235,0.0023,0.003,0.0,0.01,0.004,0.0003,,,
840,United States of America,poul,27953.1,3905.48,0.1397,,,,,,,,0.0,0.1369,0.0028
840,United States of America,rape,1573.7,295.87,0.188,0.1144,0.013,0.0073,0.0,0.0226,0.03,0.0008,,,
840,United States of America,rice,10324.6,4334.11,0.4198,0.0738,0.0026,0.0064,0.2963,0.0194,0.0165,0.0047,,,
840,United States of America,shee,32.3,700.15,21.7033,,,,,,,,17.7852,0.6217,3.2964
840,United States of America,sorg,9527.9,1253.71,0.1316,0.0743,0.0252,0.0116,0.0,0.0037,0.0165,0.0003,,,
840,United States of America,soyb,114669.6,13272.22,0.1157,0.0092,0.0199,0.012,0.0,0.0723,0.0014,0.001,,,
840,United States of America,sugc,32708.7,4985.89,0.1524,0.0181,0.0007,0.0038,0.0,0.1263,0.0014,0.0021,,,
840,United States of America,whea,49727.6,8927.89,0.1795,0.0858,0.0219,0.0121,0.0,0.0409,0.0179,0.001,,,
854,Burkina Faso,bcat,122.0,7649.75,62.7183,,,,,,,,41.4231,1.5305,19.7647
854,Burkina Faso,cott,687.4,90.51,0.1317,0.0516,0.036,0.0229,0.0,0.0006,0.0113,0.0091,,,
854,Burkina Faso,dcat,220.5,3017.68,13.6863,,,,,,,,9.3605,0.2648,4.0609
854,Burkina Faso,goat,158.5,3045.59,19.2102,,,,,,,,11.1758,0.5184,7.516
854,Burkina Faso,grou,641.5,39.8,0.062,0.0005,0.0353,0.0212,0.0,0.0003,0.0001,0.0047,,,
854,Burkina Faso,maiz,1939.5,115.89,0.0598,0.0175,0.0235,0.0097,0.0,0.0008,0.0041,0.0042,,,
854,Burkina Faso,olvs,1.3,424.49,329.0605,,,,,,,,207.7395,24.3217,96.9992
854,Burkina Faso,pigs,207.9,339.68,1.6335,,,,,,,,0.2205,1.413,0.0
854,Burkina Faso,pota,34.9,1.52,0.0437,0.0274,0.0058,0.0021,0.0,0.0013,0.0069,0.0001,,,
854,Burkina Faso,poul,213.6,199.33,0.9331,,,,,,,,0.0,0.153,0.7801
854,Burkina Faso,rice,492.5,327.94,0.6659,0.0056,0.0158,0.0089,0.6228,0.0051,0.0022,0.0054,,,
854,Burkina Faso,shee,97.2,2077.6,21.3789,,,,,,,,13.5059,0.633,7.2399
854,Burkina Faso,sorg,1850.5,138.28,0.0747,0.0103,0.0381,0.0146,0.0,0.0011,0.0034,0.0072,,,
854,Burkina Faso,soyb,99.4,7.14,0.0718,0.015,0.0235,0.0118,0.0,0.0002,0.0042,0.0171,,,
854,Burkina Faso,sugc,242.2,1.47,0.0061,0.0012,0.0005,0.0038,0.0,0.0003,0.0001,0.0001,,,
858,Uruguay,barl,600.3,388.7,0.6475,0.4919,0.0134,0.0229,0.0,0.0424,0.0763,0.0006,,,
858,Uruguay,bcat,509.0,20343.0,39.9674,,,,,,,,30.9484,0.5703,8.4487
858,Uruguay,dcat,2263.4,1679.58,0.7421,,,,,,,,0.6407,0.0149,0.0865
858,Uruguay,grou,1.3,1.03,0.7714,0.4692,0.0609,0.1008,0.0,0.0624,0.0782,0.0,,,
858,Uruguay,maiz,759.6,271.28,0.3571,0.2706,0.0082,0.0103,0.0,0.0234,0.0443,0.0003,,,
858,Uruguay,olvs,8.2,331.97,40.3372,,,,,,,,25.3646,2.3527,12.6198
858,Uruguay,pigs,10.7,20.45,1.9109,,,,,,,,0.3969,1.514,0.0
858,Uruguay,pota,73.1,7.52,0.1029,0.0782,0.0023,0.0043,0.0,0.0057,0.0125,0.0,,,
858,Uruguay,poul,305.6,133.14,0.4357,,,,,,,,0.0,0.1633,0.2723
858,Uruguay,rape,112.0,127.14,1.1349,0.8331,0.034,0.0301,0.0,0.1073,0.129,0.0015,,,
858,Uruguay,rice,1266.6,850.64,0.6716,0.0609,0.005,0.0087,0.5764,0.0008,0.0195,0.0003,,,
858,Uruguay,shee,23.7,1340.94,56.5081,,,,,,,,35.959,1.0783,19.4709
858,Uruguay,sorg,97.9,48.79,0.4987,0.3731,0.0129,0.0182,0.0,0.0346,0.0591,0.0007,,,
858,Uruguay,soyb,2003.8,275.01,0.1372,0.0142,0.0217,0.0228,0.0,0.0753,0.0021,0.0012,,,
858,Uruguay,sugc,417.2,14.38,0.0345,0.0251,0.0006,0.0042,0.0,0.0,0.0044,0.0,,,
858,Uruguay,whea,769.1,429.17,0.558,0.4198,0.0138,0.0161,0.0,0.0425,0.0652,0.0008,,,
860,Uzbekistan,barl,162.2,65.78,0.4054,0.1096,0.2628,0.0191,0.0,0.0,0.0135,0.0005,,,
860,Uzbekistan,bcat,962.9,12957.29,13.4564,,,,,,,,10.1301,1.6498,1.6766
860,Uzbekistan,cott,3023.7,1428.88,0.4726,0.3272,0.077,0.0287,0.0,0.0,0.0388,0.0009,,,
860,Uzbekistan,dcat,10536.4,11996.24,1.1386,,,,,,,,0.8815,0.1865,0.0705
860,Uzbekistan,goat,2.5,88.55,36.1412,,,,,,,,21.5237,0.7282,13.8894
860,Uzbekistan,grou,28.9,1.21,0.0418,0.005,0.0199,0.0166,0.0,0.0,0.0,0.0003,,,
860,Uzbekistan,maiz,504.5,68.67,0.1361,0.094,0.0222,0.0085,0.0,0.0,0.0112,0.0002,,,
860,Uzbekistan,olvs,6.8,221.46,32.5675,,,,,,,,21.7663,1.3894,9.4118
860,Uzbekistan,pigs,2.9,3.92,1.3478,,,,,,,,0.3419,1.0058,0.0
860,Uzbekistan,pota,3097.6,91.35,0.0295,0.0116,0.0139,0.0025,0.0,0.0,0.0014,0.0,,,
860,Uzbekistan,poul,519.9,215.86,0.4152,,,,,,,,0.0,0.1149,0.3003
860,Uzbekistan,rice,298.5,233.86,0.7834,0.1035,0.0355,0.0084,0.6204,0.0,0.0152,0.0003,,,
860,Uzbekistan,shee,219.4,3767.99,17.1749,,,,,,,,11.4368,0.5982,5.1399
860,Uzbekistan,sorg,18.1,9.91,0.5477,0.1086,0.4075,0.0183,0.0,0.0,0.013,0.0003,,,
860,Uzbekistan,soyb,6.2,3.48,0.561,0.1506,0.3604,0.0309,0.0,0.0,0.0176,0.0016,,,
860,Uzbekistan,whea,5978.8,1345.63,0.2251,0.1418,0.0542,0.0121,0.0,0.0,0.0167,0.0003,,,
862,Venezuela (Bolivarian Republic of),bcat,344.1,24744.23,71.8995,,,,,,,,55.6749,1.0259,15.1987
862,Venezuela (Bolivarian Republic of),buff,244.7,2.94,0.012,,,,,,,,0.0091,0.0002,0.0028
862,Venezuela (Bolivarian Republic of),cott,6.2,4.31,0.6997,0.1435,0.0209,0.0175,0.0,0.4037,0.0252,0.0888,,,
862,Venezuela (Bolivarian Republic of),dcat,2759.6,7449.61,2.6996,,,,,,,,2.3051,0.0833,0.3112
862,Venezuela (Bolivarian Republic of),goat,311.6,357.41,1.1469,,,,,,,,0.6676,0.0304,0.449
862,Venezuela (Bolivarian Republic of),grou,2.9,0.64,0.222,0.1017,0.0164,0.008,0.0,0.0397,0.0275,0.0286,,,
862,Venezuela (Bolivarian Republic of),maiz,1642.7,295.85,0.1801,0.0674,0.0159,0.0069,0.0,0.0608,0.0136,0.0156,,,
862,Venezuela (Bolivarian Republic of),oilp,664.3,47.81,0.072,0.0264,0.0263,0.0,0.0,0.016,0.0033,0.0,,,
862,Venezuela (Bolivarian Republic of),pigs,124.6,472.82,3.7962,,,,,,,,0.6606,3.1356,0.0
862,Venezuela (Bolivarian Republic of),pota,443.0,25.63,0.0579,0.0155,0.0239,0.004,0.0,0.0103,0.0022,0.002,,,
862,Venezuela (Bolivarian Republic of),poul,623.1,343.61,0.5515,,,,,,,,0.0,0.2097,0.3417
862,Venezuela (Bolivarian Republic of),rice,712.7,1108.91,1.5559,0.0719,0.0289,0.0082,1.3643,0.0338,0.0225,0.0264,,,
862,Venezuela (Bolivarian Republic of),shee,1.6,76.97,49.6581,,,,,,,,31.4348,1.2,17.0232
862,Venezuela (Bolivarian Republic of),sorg,53.5,27.35,0.5112,0.1094,0.038,0.0101,0.0,0.2945,0.0186,0.0406,,,
862,Venezuela (Bolivarian Republic of),soyb,6.6,1.23,0.1852,0.0434,0.0127,0.0208,0.0,0.0271,0.0047,0.0765,,,
862,Venezuela (Bolivarian Republic of),sugc,3308.8,84.18,0.0254,0.0095,0.0037,0.0034,0.0,0.0036,0.0013,0.0038,,,
887,Yemen,barl,36.3,9.44,0.2604,0.001,0.2381,0.021,0.0,0.0,0.0003,0.0,,,
887,Yemen,bcat,72.7,1835.15,25.2462,,,,,,,,15.9463,0.6488,8.6511
887,Yemen,cott,3.8,1.42,0.3686,0.0068,0.259,0.0997,0.0,0.0,0.0031,0.0,,,
887,Yemen,dcat,255.7,818.22,3.2,,,,,,,,2.0373,0.1016,1.0611
887,Yemen,goat,155.9,2185.34,14.0212,,,,,,,,8.1789,0.2862,5.5561
887,Yemen,grou,1.4,0.41,0.3007,0.0146,0.2212,0.0591,0.0,0.0,0.0058,0.0,,,
887,Yemen,maiz,86.6,11.18,0.1291,0.0033,0.1168,0.0081,0.0,0.0,0.0009,0.0,,,
887,Yemen,olvs,5.5,607.54,111.0671,,,,,,,,81.875,5.0303,24.1618
887,Yemen,pota,253.0,2.89,0.0114,0.0022,0.0063,0.0024,0.0,0.0,0.0005,0.0,,,
887,Yemen,poul,263.6,249.55,0.9469,,,,,,,,0.0,0.2022,0.7447
887,Yemen,shee,126.3,2075.37,16.4307,,,,,,,,10.4491,0.3238,5.6578
887,Yemen,sorg,165.0,92.26,0.5592,0.0632,0.4302,0.0358,0.0,0.0,0.0299,0.0,,,
887,Yemen,whea,133.5,21.22,0.159,0.0028,0.1413,0.0142,0.0,0.0,0.0007,0.0,,,
894,Zambia,barl,10.8,0.63,0.0587,0.034,0.004,0.012,0.0,0.0,0.0062,0.0025,,,
894,Zambia,bcat,175.4,4381.7,24.984,,,,,,,,16.5008,0.6098,7.8734
894,Zambia,cott,40.2,24.0,0.5979,0.316,0.0558,0.0266,0.0,0.0832,0.0928,0.0235,,,
894,Zambia,dcat,429.8,607.93,1.4146,,,,,,,,0.9675,0.0273,0.4197
894,Zambia,goat,14.0,809.09,57.6689,,,,,,,,33.7463,1.227,22.6956
894,Zambia,grou,132.5,168.02,1.2682,0.2211,0.0758,0.0522,0.0,0.8319,0.0428,0.0444,,,
894,Zambia,maiz,3347.9,1174.88,0.3509,0.1545,0.0157,0.008,0.0,0.1348,0.03,0.0079,,,
894,Zambia,pigs,29.5,198.35,6.7284,,,,,,,,1.0459,5.6825,0.0
894,Zambia,pota,95.8,4.07,0.0424,0.0285,0.0014,0.0017,0.0,0.0058,0.0049,0.0002,,,
894,Zambia,poul,115.5,168.79,1.4614,,,,,,,,0.0,0.2489,1.2125
894,Zambia,rice,46.1,183.1,3.9743,0.1739,0.0168,0.0215,1.5062,2.146,0.0461,0.0639,,,
894,Zambia,sorg,19.5,16.7,0.8581,0.0587,0.1031,0.0184,0.0,0.6261,0.0132,0.0386,,,
894,Zambia,soyb,289.9,104.13,0.3591,0.1449,0.0363,0.0194,0.0,0.1116,0.0294,0.0176,,,
894,Zambia,sugc,4249.3,175.6,0.0413,0.0168,0.0001,0.0042,0.0,0.0179,0.0017,0.0006,,,
894,Zambia,whea,191.7,22.61,0.1179,0.0811,0.0041,0.0108,0.0,0.0008,0.0123,0.0088,,,
