m49,country,commodity,production_kt,emissions_total_kt,ef_total_kgCO2e_per_kg,ef_fer_kgCO2e_per_kg,ef_man_kgCO2e_per_kg,ef_res_kgCO2e_per_kg,ef_rice_kgCO2e_per_kg,ef_peat_kgCO2e_per_kg,ef_urea_kgCO2e_per_kg,ef_burn_kgCO2e_per_kg,ef_ent_kgCO2e_per_kg,ef_mms_kgCO2e_per_kg,ef_prp_kgCO2e_per_kg
0,,barl,1475.6,777.67,0.527,0.1023,0.06,0.0176,0.0,0.3393,0.0072,0.0007,,,
0,,bcat,571.7,14723.35,25.7554,,,,,,,,19.4275,2.0503,4.2776
0,,buff,242.7,1735.75,7.1507,,,,,,,,5.5733,0.7573,0.82
0,,cott,171.2,140.88,0.823,0.4203,0.0224,0.0352,0.0,0.2577,0.0835,0.0039,,,
0,,dcat,8470.3,5917.05,0.6986,,,,,,,,0.5192,0.097,0.0824
0,,goat,340.9,1854.32,5.4397,,,,,,,,3.1757,0.1361,2.1279
0,,grou,517.6,339.69,0.6563,0.0954,0.0559,0.0261,0.0,0.4607,0.0141,0.0041,,,
0,,maiz,4255.4,2220.51,0.5218,0.1504,0.0233,0.0108,0.0,0.3139,0.0209,0.0025,,,
0,,oilp,19388.0,12596.78,0.6497,0.0255,0.0024,0.0,0.0,0.6178,0.0039,0.0,,,
0,,olvs,59.7,536.14,8.9867,,,,,,,,6.5567,0.4738,1.9561
0,,pigs,1414.3,2343.33,1.6568,,,,,,,,0.2821,1.3747,0.0
0,,pota,3477.8,391.52,0.1126,0.041,0.0056,0.0032,0.0,0.0571,0.0055,0.0001,,,
0,,poul,3725.8,1699.78,0.4562,,,,,,,,0.0,0.1665,0.2898
0,,rape,289.6,258.86,0.8939,0.2851,0.0903,0.0182,0.0,0.4784,0.0205,0.0015,,,
0,,rice,14665.6,18081.2,1.2329,0.0696,0.0196,0.0068,0.8874,0.2217,0.0258,0.0019,,,
0,,shee,307.1,2369.09,7.7131,,,,,,,,5.1711,0.2233,2.3188
0,,sorg,199.8,136.25,0.682,0.081,0.0146,0.0115,0.0,0.5407,0.0266,0.0076,,,
0,,soyb,408.3,470.67,1.1528,0.099,0.0399,0.0236,0.0,0.9707,0.0134,0.0061,,,
0,,sugc,23497.8,923.14,0.0393,0.0132,0.0015,0.0035,0.0,0.0189,0.0017,0.0004,,,
0,,whea,3482.9,1533.61,0.4403,0.1407,0.0454,0.0142,0.0,0.226,0.0125,0.0016,,,
4,Afghanistan,barl,130.5,12.08,0.0926,0.0061,0.0626,0.0214,0.0,0.0,0.0025,0.0,,,
4,Afghanistan,bcat,102.2,1562.06,15.2903,,,,,,,,12.9428,1.0943,1.2532
4,Afghanistan,buff,4.1,8.34,2.0282,,,,,,,,1.6727,0.1676,0.1878
4,Afghanistan,cott,79.3,12.25,0.1545,0.0721,0.0303,0.0259,0.0,0.0,0.0261,0.0001,,,
4,Afghanistan,dcat,1883.8,6811.55,3.6158,,,,,,,,2.8836,0.2605,0.4716
4,Afghanistan,goat,162.4,1748.11,10.7616,,,,,,,,6.4074,0.2192,4.135
4,Afghanistan,maiz,275.8,13.3,0.0482,0.0097,0.0258,0.0087,0.0,0.0,0.0039,0.0001,,,
4,Afghanistan,olvs,11.1,673.25,60.7075,,,,,,,,40.9586,2.5668,17.1821
4,Afghanistan,pota,873.8,9.39,0.0107,0.003,0.0034,0.0032,0.0,0.0,0.0012,0.0,,,
4,Afghanistan,poul,48.1,41.85,0.8701,,,,,,,,0.0,0.2462,0.6239
4,Afghanistan,rice,636.7,424.08,0.666,0.0046,0.0086,0.0054,0.6452,0.0,0.0022,0.0,,,
4,Afghanistan,shee,304.9,2618.14,8.5863,,,,,,,,5.7172,0.2997,2.5694
4,Afghanistan,sugc,86.3,0.84,0.0097,0.0037,0.0011,0.0032,0.0,0.0,0.0017,0.0,,,
4,Afghanistan,whea,5144.0,308.35,0.0599,0.0188,0.0202,0.013,0.0,0.0,0.0079,0.0,,,
8,Albania,barl,12.1,2.33,0.1915,0.0845,0.0394,0.0192,0.0,0.0217,0.0213,0.0054,,,
8,Albania,bcat,31.0,130.19,4.197,,,,,,,,3.2183,0.6264,0.3523
8,Albania,dcat,871.2,1202.38,1.3802,,,,,,,,1.0106,0.2996,0.07
8,Albania,goat,84.2,176.34,2.0943,,,,,,,,1.1511,0.0431,0.9
8,Albania,maiz,381.5,65.42,0.1715,0.0522,0.0174,0.0088,0.0,0.0795,0.0102,0.0034,,,
8,Albania,pigs,8.4,37.26,4.4251,,,,,,,,0.7059,3.7191,0.0
8,Albania,pota,242.7,12.94,0.0533,0.0193,0.0053,0.0033,0.0,0.0213,0.0037,0.0005,,,
8,Albania,poul,70.8,35.5,0.5015,,,,,,,,0.0,0.4886,0.0129
8,Albania,shee,88.4,447.6,5.0633,,,,,,,,3.5695,0.1714,1.3225
8,Albania,whea,224.1,78.37,0.3497,0.1846,0.0326,0.0133,0.0,0.0715,0.0402,0.0075,,,
12,Algeria,barl,1198.1,99.55,0.0831,0.0083,0.051,0.0191,0.0,0.0,0.0022,0.0025,,,
12,Algeria,bcat,140.2,1021.29,7.2845,,,,,,,,4.811,0.1779,2.2956
12,Algeria,dcat,2387.8,1629.68,0.6825,,,,,,,,0.4668,0.0132,0.2025
12,Algeria,goat,360.0,1110.98,3.0857,,,,,,,,1.8056,0.0658,1.2143
12,Algeria,grou,11.9,1.75,0.1466,0.0725,0.0322,0.0192,0.0,0.0,0.0175,0.0052,,,
12,Algeria,maiz,2.6,1.22,0.477,0.327,0.052,0.0133,0.0,0.0,0.0828,0.002,,,
12,Algeria,olvs,26.6,605.08,22.7561,,,,,,,,18.1326,0.8543,3.7691
12,Algeria,pota,4558.8,87.65,0.0192,0.0122,0.0016,0.0023,0.0,0.0,0.0028,0.0003,,,
12,Algeria,poul,814.0,854.59,1.0499,,,,,,,,0.0,0.1714,0.8784
12,Algeria,rape,22.4,3.48,0.1551,0.072,0.0482,0.0123,0.0,0.0,0.0189,0.0036,,,
12,Algeria,shee,914.8,6500.65,7.1058,,,,,,,,4.5175,0.1666,2.4216
12,Algeria,whea,3077.9,184.61,0.06,0.0078,0.0354,0.0125,0.0,0.0,0.002,0.0023,,,
20,,dcat,2.7,1.57,0.5745,,,,,,,,0.4263,0.1186,0.0296
24,Angola,bcat,99.3,5905.55,59.4718,,,,,,,,39.2789,1.4513,18.7416
24,Angola,cott,2.9,0.61,0.2086,0.0164,0.0219,0.0308,0.0,0.1055,0.0,0.0339,,,
24,Angola,dcat,214.2,806.78,3.7672,,,,,,,,2.5765,0.073,1.1177
24,Angola,goat,10.3,726.35,70.5878,,,,,,,,41.3045,1.5042,27.7791
24,Angola,grou,227.9,73.62,0.323,0.0039,0.0295,0.0609,0.0,0.1585,0.0001,0.0701,,,
24,Angola,maiz,2977.4,421.48,0.1416,0.013,0.0196,0.0198,0.0,0.0737,0.0008,0.0146,,,
24,Angola,oilp,281.3,2.24,0.008,0.0,0.008,0.0,0.0,0.0,0.0,0.0,,,
24,Angola,pigs,127.1,505.52,3.9761,,,,,,,,0.6179,3.3582,0.0
24,Angola,pota,482.6,13.7,0.0284,0.0067,0.0048,0.0061,0.0,0.0081,0.0004,0.0024,,,
24,Angola,poul,97.0,163.06,1.6804,,,,,,,,0.0,0.2662,1.4141
24,Angola,rice,11.0,9.64,0.8721,0.0075,0.0292,0.0226,0.6994,0.0395,0.0008,0.073,,,
24,Angola,shee,1.1,71.54,63.8714,,,,,,,,40.6,1.5045,21.767
24,Angola,sorg,34.9,29.04,0.8323,0.0111,0.2477,0.0514,0.0,0.4258,0.0009,0.0954,,,
24,Angola,soyb,36.9,4.32,0.1171,0.0084,0.0387,0.0328,0.0,0.0183,0.0,0.0189,,,
24,Angola,sugc,864.5,5.49,0.0064,0.0012,0.0007,0.0033,0.0,0.0007,0.0001,0.0005,,,
24,Angola,whea,5.2,0.52,0.099,0.0273,0.0284,0.0149,0.0,0.0197,0.0,0.0088,,,
31,Azerbaijan,barl,978.8,181.45,0.1854,0.1038,0.0544,0.0204,0.0,0.0,0.0024,0.0045,,,
31,Azerbaijan,bcat,141.7,1599.92,11.2949,,,,,,,,7.1652,0.3004,3.8293
31,Azerbaijan,buff,1.5,13.64,8.9711,,,,,,,,7.3987,0.6632,0.9092
31,Azerbaijan,cott,331.8,132.55,0.3995,0.3033,0.052,0.0271,0.0,0.0,0.0054,0.0117,,,
31,Azerbaijan,dcat,2145.0,2444.33,1.1395,,,,,,,,0.7276,0.0369,0.375
31,Azerbaijan,goat,6.0,134.18,22.4752,,,,,,,,13.2139,0.304,8.9573
31,Azerbaijan,maiz,305.8,22.64,0.074,0.0529,0.0113,0.0072,0.0,0.0,0.001,0.0018,,,
31,Azerbaijan,pota,1066.7,37.24,0.0349,0.0226,0.0077,0.003,0.0,0.0,0.0012,0.0003,,,
31,Azerbaijan,poul,228.7,136.41,0.5964,,,,,,,,0.0,0.086,0.5103
31,Azerbaijan,rape,1.5,0.23,0.155,0.0715,0.0291,0.0238,0.0,0.0,0.0278,0.0026,,,
31,Azerbaijan,rice,11.2,18.99,1.696,0.1396,0.0515,0.0102,1.4847,0.0,0.0058,0.0041,,,
31,Azerbaijan,shee,117.9,1566.18,13.2817,,,,,,,,8.5149,0.1805,4.5863
31,Azerbaijan,soyb,9.0,0.7,0.0773,0.0201,0.024,0.0228,0.0,0.0,0.0077,0.0027,,,
31,Azerbaijan,whea,1844.5,446.87,0.2423,0.1716,0.0445,0.0154,0.0,0.0,0.0039,0.007,,,
32,Argentina,barl,3595.4,425.85,0.1184,0.0668,0.0021,0.0155,0.0,0.0059,0.0279,0.0004,,,
32,Argentina,bcat,3159.9,103273.77,32.6824,,,,,,,,25.3074,0.4663,6.9087
32,Argentina,cott,1045.5,63.56,0.0608,0.0132,0.003,0.0294,0.0,0.008,0.0021,0.0051,,,
32,Argentina,dcat,11424.6,3506.64,0.3069,,,,,,,,0.265,0.0061,0.0358
32,Argentina,goat,3.1,345.36,112.4935,,,,,,,,65.9205,2.2391,44.3339
32,Argentina,grou,1285.3,142.24,0.1107,0.0628,0.0019,0.0186,0.0,0.0,0.0265,0.0009,,,
32,Argentina,maiz,58494.3,3057.76,0.0523,0.0287,0.0013,0.007,0.0,0.0055,0.0092,0.0006,,,
32,Argentina,olvs,8.3,882.53,105.8185,,,,,,,,66.7928,5.801,33.2247
32,Argentina,pigs,655.0,701.98,1.0717,,,,,,,,0.2225,0.8492,0.0
32,Argentina,pota,2893.3,33.82,0.0117,0.0061,0.0002,0.0021,0.0,0.0005,0.0023,0.0004,,,
32,Argentina,poul,2947.7,358.59,0.1217,,,,,,,,0.0,0.0419,0.0798
32,Argentina,rape,32.6,69.23,2.1215,0.0772,0.093,0.0197,0.0,1.9138,0.0157,0.0023,,,
32,Argentina,rice,1499.0,1317.39,0.8789,0.0437,0.0062,0.0091,0.6705,0.1316,0.0129,0.0049,,,
32,Argentina,shee,44.0,2559.73,58.1229,,,,,,,,37.0338,1.0367,20.0524
32,Argentina,sorg,1829.3,116.93,0.0639,0.0168,0.0055,0.015,0.0,0.0205,0.0037,0.0024,,,
32,Argentina,soyb,48946.7,2340.98,0.0478,0.0003,0.0042,0.0144,0.0,0.0275,0.0,0.0014,,,
32,Argentina,sugc,17601.8,146.3,0.0083,0.0029,0.0002,0.0012,0.0,0.0026,0.0006,0.0009,,,
32,Argentina,whea,17645.7,3368.47,0.1909,0.1218,0.0037,0.0139,0.0,0.0152,0.0351,0.0011,,,
36,Australia,barl,14625.0,2130.09,0.1456,0.0908,0.0006,0.0131,0.0,0.0046,0.0342,0.0023,,,
36,Australia,bcat,2087.7,49924.13,23.9135,,,,,,,,16.8608,1.1187,5.934
36,Australia,cott,289.2,94.49,0.3268,0.165,0.0018,0.1067,0.0,0.0,0.0441,0.0091,,,
36,Australia,dcat,8974.3,5323.6,0.5932,,,,,,,,0.3723,0.1237,0.0973
36,Australia,goat,8.2,596.73,72.3308,,,,,,,,37.215,1.4885,33.6273
36,Australia,grou,12.7,2.73,0.2155,0.0141,0.1729,0.0181,0.0,0.0,0.0,0.0104,,,
36,Australia,maiz,264.0,45.91,0.1739,0.0611,0.0053,0.0096,0.0,0.0775,0.0175,0.003,,,
36,Australia,olvs,18.4,149.07,8.0972,,,,,,,,4.9115,0.6379,2.5478
36,Australia,pigs,410.9,1003.87,2.4433,,,,,,,,0.2184,2.225,0.0
36,Australia,pota,1019.3,128.27,0.1258,0.0319,0.0015,0.0027,0.0,0.0811,0.0079,0.0008,,,
36,Australia,poul,1474.9,154.7,0.1049,,,,,,,,0.0,0.0965,0.0084
36,Australia,rape,4745.9,868.51,0.183,0.1079,0.0011,0.0139,0.0,0.0132,0.0405,0.0064,,,
36,Australia,rice,49.9,42.7,0.8551,0.0321,0.0019,0.0231,0.7819,0.0,0.0128,0.0033,,,
36,Australia,shee,642.4,21475.49,33.4322,,,,,,,,20.8801,0.7308,11.8212
36,Australia,sorg,394.8,89.13,0.2258,0.1311,0.004,0.0468,0.0,0.0012,0.0385,0.0042,,,
36,Australia,soyb,16.3,30.09,1.8473,0.0122,0.0011,0.0259,0.0,1.7878,0.0026,0.0178,,,
36,Australia,sugc,28834.2,268.9,0.0093,0.0038,0.0,0.0044,0.0,0.0004,0.0005,0.0002,,,
36,Australia,whea,31881.3,1815.57,0.0569,0.0273,0.0007,0.0095,0.0,0.0067,0.0102,0.0026,,,
40,Austria,barl,845.6,209.64,0.2479,0.105,0.028,0.0169,0.0,0.0946,0.0033,0.0001,,,
40,Austria,bcat,208.3,2535.36,12.1705,,,,,,,,9.4642,1.6735,1.0329
40,Austria,dcat,3704.8,2140.81,0.5779,,,,,,,,0.4321,0.1159,0.0299
40,Austria,goat,24.6,22.05,0.8947,,,,,,,,0.4916,0.0183,0.3848
40,Austria,maiz,2277.1,379.15,0.1665,0.0767,0.0232,0.0085,0.0,0.0557,0.0023,0.0,,,
40,Austria,pigs,479.9,629.45,1.3116,,,,,,,,0.2263,1.0854,0.0
40,Austria,pota,829.1,21.53,0.026,0.0125,0.0033,0.0027,0.0,0.0069,0.0005,0.0,,,
40,Austria,poul,271.5,63.37,0.2334,,,,,,,,0.0,0.2265,0.0069
40,Austria,rape,104.9,67.14,0.6403,0.216,0.047,0.0179,0.0,0.3497,0.0098,0.0001,,,
40,Austria,shee,17.3,117.29,6.7916,,,,,,,,4.7881,0.231,1.7725
40,Austria,sorg,37.4,6.93,0.1852,0.0685,0.0214,0.0102,0.0,0.0828,0.0023,0.0,,,
40,Austria,soyb,190.0,102.05,0.5372,0.0929,0.0631,0.0181,0.0,0.3598,0.0031,0.0001,,,
40,Austria,whea,1614.2,521.0,0.3228,0.1511,0.0323,0.0139,0.0,0.121,0.0044,0.0001,,,
44,Bahamas,poul,4.5,5.25,1.1538,,,,,,,,0.0,0.4429,0.711
44,Bahamas,sugc,63.0,17.34,0.2754,0.0014,0.0001,0.0026,0.0,0.2706,0.0008,0.0,,,
50,Bangladesh,bcat,187.9,13479.19,71.7513,,,,,,,,60.9876,4.9975,5.7662
50,Bangladesh,buff,278.1,2488.01,8.9468,,,,,,,,7.379,0.739,0.8288
50,Bangladesh,cott,84.6,33.0,0.3903,0.1199,0.047,0.0208,0.0,0.184,0.0184,0.0002,,,
50,Bangladesh,dcat,9659.4,16424.06,1.7003,,,,,,,,1.3563,0.1209,0.2231
50,Bangladesh,goat,971.1,5954.35,6.1315,,,,,,,,3.6146,0.1842,2.3327
50,Bangladesh,grou,55.0,62.46,1.136,0.3412,0.0774,0.0276,0.0,0.637,0.0529,0.0,,,
50,Bangladesh,maiz,3731.5,848.07,0.2273,0.1143,0.0184,0.0084,0.0,0.0684,0.0178,0.0,,,
50,Bangladesh,pigs,4.9,21.06,4.307,,,,,,,,0.6297,3.6773,0.0
50,Bangladesh,pota,9567.2,1487.09,0.1554,0.0985,0.0081,0.0033,0.0,0.0302,0.0154,0.0,,,
50,Bangladesh,poul,1189.3,1252.91,1.0535,,,,,,,,0.0,0.3356,0.7179
50,Bangladesh,rape,398.6,474.69,1.1909,0.5154,0.1275,0.0236,0.0,0.445,0.0793,0.0003,,,
50,Bangladesh,rice,53957.0,43887.38,0.8134,0.076,0.025,0.0087,0.5585,0.1202,0.0249,0.0001,,,
50,Bangladesh,shee,56.5,708.0,12.5221,,,,,,,,8.2554,0.5567,3.7101
50,Bangladesh,soyb,96.8,134.55,1.3904,0.7548,0.0785,0.0204,0.0,0.4178,0.1184,0.0005,,,
50,Bangladesh,sugc,3558.5,159.32,0.0448,0.0188,0.0035,0.0036,0.0,0.0159,0.0029,0.0,,,
50,Bangladesh,whea,989.6,382.47,0.3865,0.1553,0.0576,0.014,0.0,0.1355,0.024,0.0001,,,
51,Armenia,barl,102.5,42.7,0.4167,0.2472,0.0967,0.016,0.0,0.0267,0.0237,0.0064,,,
51,Armenia,bcat,68.7,462.85,6.7324,,,,,,,,4.2524,0.1731,2.3069
51,Armenia,dcat,642.9,536.09,0.8338,,,,,,,,0.5308,0.0265,0.2765
51,Armenia,goat,4.2,9.83,2.3458,,,,,,,,1.3795,0.0296,0.9368
51,Armenia,maiz,9.6,1.88,0.1956,0.1366,0.0356,0.0077,0.0,0.0,0.0134,0.0024,,,
51,Armenia,pigs,16.0,34.3,2.1396,,,,,,,,0.369,1.7706,0.0
51,Armenia,pota,446.4,1.68,0.0038,0.0019,0.0014,0.0002,0.0,0.0,0.0001,0.0002,,,
51,Armenia,poul,55.0,21.47,0.3901,,,,,,,,0.0,0.0519,0.3382
51,Armenia,shee,57.6,177.58,3.0851,,,,,,,,1.9756,0.0395,1.0699
51,Armenia,whea,156.7,70.42,0.4493,0.2996,0.0821,0.0126,0.0,0.0172,0.0272,0.0106,,,
52,Barbados,dcat,2.7,4.45,1.6663,,,,,,,,1.4225,0.0517,0.1921
52,Barbados,pigs,1.9,2.3,1.2376,,,,,,,,0.2161,1.0215,0.0
52,Barbados,poul,10.3,9.52,0.9209,,,,,,,,0.0,0.3372,0.5837
52,Barbados,sugc,58.7,2.02,0.0344,0.0056,0.025,0.0029,0.0,0.0,0.0009,0.0,,,
56,Belgium,barl,334.0,129.37,0.3874,0.0985,0.1009,0.0199,0.0,0.1638,0.0043,0.0,,,
56,Belgium,bcat,250.7,3513.8,14.0148,,,,,,,,10.8953,1.9272,1.1923
56,Belgium,dcat,4606.6,2337.46,0.5074,,,,,,,,0.3793,0.1019,0.0263
56,Belgium,goat,54.9,5.11,0.0932,,,,,,,,0.0512,0.0019,0.04
56,Belgium,maiz,403.2,157.37,0.3903,0.0494,0.1283,0.0101,0.0,0.2003,0.0022,0.0,,,
56,Belgium,pigs,1076.8,1447.05,1.3438,,,,,,,,0.2312,1.1126,0.0
56,Belgium,pota,3887.0,315.37,0.0811,0.0255,0.0228,0.0034,0.0,0.0282,0.0011,0.0,,,
56,Belgium,poul,438.9,159.7,0.3639,,,,,,,,0.0,0.3523,0.0116
56,Belgium,rape,33.3,22.1,0.6628,0.38,0.1446,0.0201,0.0,0.1007,0.0173,0.0,,,
56,Belgium,shee,2.7,2.27,0.8362,,,,,,,,0.5893,0.0284,0.2185
56,Belgium,whea,1724.6,873.96,0.5068,0.1613,0.1244,0.0144,0.0,0.1993,0.0072,0.0001,,,
64,Bhutan,barl,1.0,0.23,0.2173,0.0558,0.125,0.024,0.0,0.0,0.0058,0.0067,,,
64,Bhutan,buff,1.1,44.55,40.1315,,,,,,,,33.5811,2.7775,3.773
64,Bhutan,dcat,113.9,203.17,1.7833,,,,,,,,1.4224,0.1271,0.2338
64,Bhutan,goat,7.2,39.68,5.5499,,,,,,,,3.2824,0.1484,2.1192
64,Bhutan,grou,1.2,0.68,0.5496,0.4195,0.0472,0.0211,0.0,0.0,0.061,0.0008,,,
64,Bhutan,maiz,51.6,15.31,0.297,0.2076,0.0442,0.0121,0.0,0.0,0.0298,0.0033,,,
64,Bhutan,pigs,2.3,8.62,3.7316,,,,,,,,0.6134,3.1182,0.0
64,Bhutan,pota,187.6,24.55,0.1308,0.104,0.0082,0.0034,0.0,0.0,0.015,0.0002,,,
64,Bhutan,poul,14.3,6.26,0.439,,,,,,,,0.0,0.1252,0.3138
64,Bhutan,rape,7.7,4.48,0.5833,0.4155,0.081,0.0257,0.0,0.0,0.0603,0.0009,,,
64,Bhutan,rice,254.7,108.18,0.4247,0.1508,0.0156,0.0091,0.2108,0.0,0.0378,0.0006,,,
64,Bhutan,sugc,16.4,0.43,0.0262,0.0184,0.0029,0.0022,0.0,0.0,0.0026,0.0,,,
64,Bhutan,whea,2.1,0.48,0.2306,0.1146,0.0864,0.0131,0.0,0.0,0.0141,0.0024,,,
68,Bolivia (Plurinational State of),barl,47.2,18.46,0.3907,0.0253,0.0886,0.0262,0.0,0.2436,0.0043,0.0027,,,
68,Bolivia (Plurinational State of),bcat,285.0,19650.15,68.9527,,,,,,,,53.3931,0.9838,14.5758
68,Bolivia (Plurinational State of),cott,31.7,11.53,0.3636,0.2585,0.019,0.0476,0.0,0.011,0.0255,0.002,,,
68,Bolivia (Plurinational State of),dcat,604.4,541.47,0.8959,,,,,,,,0.7736,0.0179,0.1045
68,Bolivia (Plurinational State of),goat,34.7,498.26,14.3508,,,,,,,,8.3978,0.3056,5.6474
68,Bolivia (Plurinational State of),grou,25.7,2.89,0.1122,0.005,0.0594,0.0318,0.0,0.0038,0.0001,0.0121,,,
68,Bolivia (Plurinational State of),maiz,968.0,96.1,0.0993,0.0068,0.05,0.0131,0.0,0.024,0.0005,0.0049,,,
68,Bolivia (Plurinational State of),pigs,115.3,412.92,3.5813,,,,,,,,0.7434,2.8378,0.0
68,Bolivia (Plurinational State of),pota,1312.3,92.39,0.0704,0.031,0.0206,0.0076,0.0,0.0061,0.0049,0.0002,,,
68,Bolivia (Plurinational State of),poul,601.9,579.69,0.963,,,,,,,,0.0,0.3647,0.5983
68,Bolivia (Plurinational State of),rice,487.4,106.94,0.2194,0.007,0.0203,0.0161,0.1312,0.0339,0.0004,0.0105,,,
68,Bolivia (Plurinational State of),shee,58.9,1563.62,26.565,,,,,,,,16.9047,0.507,9.1533
68,Bolivia (Plurinational State of),sorg,1020.7,118.96,0.1165,0.0233,0.0358,0.0193,0.0,0.0292,0.0015,0.0074,,,
68,Bolivia (Plurinational State of),soyb,2832.3,172.86,0.061,0.0015,0.0221,0.0231,0.0,0.0082,0.0001,0.0061,,,
68,Bolivia (Plurinational State of),sugc,10105.4,61.73,0.0061,0.0002,0.0009,0.0039,0.0,0.0008,0.0,0.0003,,,
68,Bolivia (Plurinational State of),whea,311.7,52.3,0.1678,0.0089,0.1014,0.0178,0.0,0.0333,0.0005,0.0058,,,
70,Bosnia and Herzegovina,barl,92.8,14.66,0.1579,0.0921,0.0138,0.0181,0.0,0.0235,0.004,0.0063,,,
70,Bosnia and Herzegovina,bcat,15.1,429.92,28.434,,,,,,,,22.1034,3.9122,2.4184
70,Bosnia and Herzegovina,dcat,623.5,860.38,1.3798,,,,,,,,1.0314,0.277,0.0714
70,Bosnia and Herzegovina,maiz,1416.4,127.0,0.0897,0.057,0.0075,0.0073,0.0,0.0118,0.0027,0.0034,,,
70,Bosnia and Herzegovina,pigs,17.2,133.61,7.768,,,,,,,,1.3355,6.4324,0.0
70,Bosnia and Herzegovina,pota,406.8,24.5,0.0602,0.0421,0.0039,0.0034,0.0,0.0084,0.0016,0.0009,,,
70,Bosnia and Herzegovina,poul,84.2,41.24,0.4896,,,,,,,,0.0,0.4728,0.0169
70,Bosnia and Herzegovina,rape,11.8,2.34,0.1978,0.124,0.0182,0.0151,0.0,0.0233,0.0095,0.0077,,,
70,Bosnia and Herzegovina,shee,16.7,301.76,18.08,,,,,,,,12.7451,0.6121,4.7228
70,Bosnia and Herzegovina,soyb,50.9,4.11,0.0808,0.0215,0.0186,0.0151,0.0,0.0172,0.0019,0.0065,,,
70,Bosnia and Herzegovina,whea,346.2,94.12,0.2718,0.2056,0.0129,0.0138,0.0,0.0218,0.0096,0.008,,,
72,Botswana,bcat,67.3,1264.06,18.7853,,,,,,,,12.4071,0.4583,5.9199
72,Botswana,dcat,27.3,14.0,0.5138,,,,,,,,0.3534,0.0074,0.153
72,Botswana,goat,13.4,246.87,18.3546,,,,,,,,10.7398,0.3918,7.223
72,Botswana,grou,1.2,0.21,0.1707,0.0187,0.1236,0.0285,0.0,0.0,0.0,0.0,,,
72,Botswana,maiz,60.7,43.3,0.7134,0.2113,0.0727,0.0122,0.0,0.4106,0.0032,0.0034,,,
72,Botswana,pota,2.3,0.48,0.2087,0.1074,0.0165,0.0022,0.0,0.0826,0.0,0.0,,,
72,Botswana,poul,4.9,3.6,0.7364,,,,,,,,0.0,0.1096,0.6268
72,Botswana,sorg,83.8,20.67,0.2466,0.0396,0.0259,0.0072,0.0,0.1707,0.0003,0.0029,,,
72,Botswana,sugc,2.8,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,,,
76,Brazil,barl,386.7,126.32,0.3267,0.2301,0.0183,0.0241,0.0,0.0311,0.0228,0.0003,,,
76,Brazil,bcat,7802.2,393003.63,50.3711,,,,,,,,39.0046,0.7187,10.6479
76,Brazil,cott,7045.7,3424.73,0.4861,0.3808,0.0115,0.0329,0.0,0.0172,0.0394,0.0041,,,
76,Brazil,dcat,36257.6,35791.25,0.9871,,,,,,,,0.8523,0.0198,0.1151
76,Brazil,goat,59.8,2436.58,40.7591,,,,,,,,23.8511,0.8679,16.0401
76,Brazil,grou,647.3,145.59,0.2249,0.1266,0.019,0.031,0.0,0.0322,0.0125,0.0037,,,
76,Brazil,maiz,103515.2,18913.58,0.1827,0.1217,0.0115,0.0101,0.0,0.0257,0.0125,0.0013,,,
76,Brazil,oilp,2867.3,151.28,0.0528,0.0289,0.0077,0.0,0.0,0.0134,0.0029,0.0,,,
76,Brazil,olvs,1.6,420.05,257.7006,,,,,,,,162.173,15.0374,80.4902
76,Brazil,pigs,4442.9,5313.8,1.196,,,,,,,,0.2483,0.9477,0.0
76,Brazil,pota,3750.3,402.39,0.1073,0.0841,0.0063,0.0033,0.0,0.005,0.0085,0.0001,,,
76,Brazil,poul,17187.7,4121.44,0.2398,,,,,,,,0.0,0.0894,0.1504
76,Brazil,rape,38.1,17.18,0.4514,0.1545,0.1202,0.0342,0.0,0.1177,0.0181,0.0066,,,
76,Brazil,rice,10595.2,6388.04,0.6029,0.1359,0.0088,0.0096,0.3726,0.0525,0.0222,0.0014,,,
76,Brazil,shee,86.2,3707.05,43.0202,,,,,,,,27.3759,0.8212,14.8231
76,Brazil,sorg,2755.3,1288.58,0.4677,0.3739,0.0221,0.017,0.0,0.013,0.0378,0.0038,,,
76,Brazil,soyb,121485.2,16718.69,0.1376,0.0585,0.0151,0.0191,0.0,0.0372,0.0059,0.0019,,,
76,Brazil,sugc,754464.2,15578.77,0.0206,0.0128,0.0009,0.0042,0.0,0.0012,0.0013,0.0003,,,
76,Brazil,whea,6326.2,2998.33,0.474,0.364,0.0304,0.0196,0.0,0.0233,0.036,0.0007,,,
84,Belize,bcat,3.6,246.04,67.9666,,,,,,,,52.629,0.9696,14.368
84,Belize,dcat,10.8,27.72,2.5666,,,,,,,,2.2152,0.0522,0.2992
84,Belize,maiz,99.0,144.68,1.4614,0.2891,0.0064,0.0105,0.0,1.1123,0.0201,0.0231,,,
84,Belize,pigs,2.1,3.6,1.6976,,,,,,,,0.3481,1.3495,0.0
84,Belize,pota,1.1,0.58,0.5264,0.2755,0.0055,0.0045,0.0,0.2218,0.0173,0.0018,,,
84,Belize,poul,21.7,5.56,0.2557,,,,,,,,0.0,0.0904,0.1653
84,Belize,rice,13.7,16.22,1.1834,0.1748,0.0047,0.0084,0.0536,0.8959,0.0195,0.0265,,,
